KECAMATAN,KELURAHAN,NAMOBJ,Kode,Luas__Ha_
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Badan Air,"22",1.75863130163
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Badan Air,"22",0.76446832211
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Badan Air,"22",0.17611400644
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Badan Jalan,"23",1.07111153649
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Kawasan Pendidikan,"16",0.11874087183
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Kawasan Pendidikan,"16",0.41853018306
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Kawasan Pendidikan,"16",0.27118342425
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Kawasan Perdagangan dan Jasa,"13",1.64210319131
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Kawasan Perdagangan dan Jasa,"13",1.58192910185
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Kawasan Perdagangan dan Jasa,"13",2.39233864811
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Kawasan Perdagangan dan Jasa,"13",0.23094338576
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Kawasan Peribadatan,"15",0.0901403865
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Kawasan Peribadatan,"15",0.10071126603
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Kawasan Perumahan,"12",2.91496138206
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Kawasan Perumahan,"12",3.17929154916
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Kawasan Perumahan,"12",19.4463646508
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Kawasan Perumahan,"12",5.0598406309
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Kawasan Perumahan,"12",27.8253745504
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Kawasan Perumahan,"12",1.40218924752
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Kawasan Peruntukan Industri,"10",2.16659632985
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Kawasan Peruntukan Industri,"10",0.19659994762
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Ruang Terbuka Hijau (RTH) Kota,"6",0.03164671918
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Ruang Terbuka Hijau (RTH) Kota,"6",0.08005095092
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Ruang Terbuka Hijau (RTH) Kota,"6",0.18357359271
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Ruang Terbuka Hijau (RTH) Kota,"6",0.0539885479
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Ruang Terbuka Hijau (RTH) Kota,"6",0.25547551709
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Ruang Terbuka Hijau (RTH) Kota,"6",0.18694673582
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Ruang Terbuka Hijau (RTH) Kota,"6",0.15486637054
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Ruang Terbuka Hijau (RTH) Kota,"6",0.39682599149
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Ruang Terbuka Hijau (RTH) Kota,"6",0.322186623
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Ruang Terbuka Hijau (RTH) Kota,"6",1.39214760953
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Ruang Terbuka Hijau (RTH) Kota,"6",0.02468578951
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Ruang Terbuka Hijau (RTH) Kota,"6",8.16905314428
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Ruang Terbuka Hijau (RTH) Kota,"6",0.33575007073
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Sempadan Sungai,"2",0.0034162933
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Sempadan Sungai,"2",0.08744943329
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Sempadan Sungai,"2",0.50386009822
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Sempadan Sungai,"2",0.30761153907
Kecamatan Pekalongan Barat,Kelurahan Sapuro Kebulen,Sempadan Sungai,"2",0.10574575291
Kecamatan Pekalongan Barat,Kelurahan Bendan Kergon,Badan Air,"22",0.25491350712
Kecamatan Pekalongan Barat,Kelurahan Bendan Kergon,Badan Air,"22",0.0967736999
Kecamatan Pekalongan Barat,Kelurahan Bendan Kergon,Badan Air,"22",0.4838318146
Kecamatan Pekalongan Barat,Kelurahan Bendan Kergon,Badan Air,"22",0.64101482737
Kecamatan Pekalongan Barat,Kelurahan Bendan Kergon,Badan Jalan,"23",6.10010533262
Kecamatan Pekalongan Barat,Kelurahan Bendan Kergon,Kawasan Kesehatan,"17",2.95652020432
Kecamatan Pekalongan Barat,Kelurahan Bendan Kergon,Kawasan Kesehatan,"17",0.49979522832
Kecamatan Pekalongan Barat,Kelurahan Bendan Kergon,Kawasan Pendidikan,"16",0.27077091881
Kecamatan Pekalongan Barat,Kelurahan Bendan Kergon,Kawasan Pendidikan,"16",0.53673359862
Kecamatan Pekalongan Barat,Kelurahan Bendan Kergon,Kawasan Pendidikan,"16",4.8762844381
Kecamatan Pekalongan Barat,Kelurahan Bendan Kergon,Kawasan Pendidikan,"16",0.28162383069
Kecamatan Pekalongan Barat,Kelurahan Bendan Kergon,Kawasan Pendidikan,"16",0.03349386713
Kecamatan Pekalongan Barat,Kelurahan Bendan Kergon,Kawasan Pendidikan,"16",0.17620440128
Kecamatan Pekalongan Barat,Kelurahan Bendan Kergon,Kawasan Perdagangan dan Jasa,"13",0.2975428603
Kecamatan Pekalongan Barat,Kelurahan Bendan Kergon,Kawasan Perdagangan dan Jasa,"13",0.13317060554
Kecamatan Pekalongan Barat,Kelurahan Bendan Kergon,Kawasan Perdagangan dan Jasa,"13",1.49862281371
Kecamatan Pekalongan Barat,Kelurahan Bendan Kergon,Kawasan Perdagangan dan Jasa,"13",11.4572562696
Kecamatan Pekalongan Barat,Kelurahan Bendan Kergon,Kawasan Perdagangan dan Jasa,"13",2.49102266412
Kecamatan Pekalongan Barat,Kelurahan Bendan Kergon,Kawasan Perdagangan dan Jasa,"13",2.56250425367
